date,close,tradecount,rsi,moving_avg,macd,signal_line
2021-01-01,728.91,483671.0,61.574045519027926,669.0992857142857,42.97219894524767,34.36174704276277
2021-01-02,774.56,824134.0,65.93115139583846,677.4228571428572,46.580983433857,36.80559432098162
2021-01-03,978.28,1636501.0,80.94068413391558,701.7157142857143,65.1287093615839,42.47021732910208
2021-01-04,1041.43,2477862.0,87.26273297260155,732.7049999999999,83.95580278801856,50.767334420885376
2021-01-05,1099.56,1960503.0,87.87229518653604,765.7842857142857,102.38676427268365,61.09122039124504
2021-01-06,1208.42,1600888.0,96.5251426693358,810.2742857142857,124.34416413362999,73.74180913972202
2021-01-07,1224.87,1402699.0,96.47083813801056,854.0285714285714,141.44247839353238,87.2819429904841
2021-01-08,1216.93,1718817.0,95.21846408484164,896.1792857142857,152.59332314538153,100.34421902146359
2021-01-09,1276.0,1131871.0,95.54896142433236,941.7907142857142,164.30292147637,113.13595951244488
2021-01-10,1254.25,1437486.0,92.15602038397726,982.4435714285715,169.86966750234262,124.48270111042444
2021-01-11,1087.01,2557613.0,72.37195412682878,1007.9150000000001,158.95415891867617,131.3769926720748
2021-01-12,1050.16,1516625.0,69.11467845813709,1030.6407142857145,145.6510777329696,134.23180968425376
2021-01-13,1129.89,1123983.0,71.17739403453692,1057.6207142857143,139.92882235689797,135.3712122187826
2021-01-14,1231.62,1255769.0,75.32266972120519,1092.9921428571429,141.9661570638856,136.6902011878032
2021-01-15,1168.53,1519266.0,71.27138654486336,1124.3935714285715,136.91169101307662,136.7344991528579
2021-01-16,1227.83,1252473.0,71.64592506279789,1156.77,136.12187640331956,136.61197460295023
2021-01-17,1232.45,1121278.0,64.98802938991167,1174.925,134.32037633694802,136.15365494974978
2021-01-18,1258.45,940604.0,63.38373871429277,1190.4264285714287,133.45230219563746,135.61338439892734
2021-01-19,1365.36,1840481.0,65.4617586150732,1209.412142857143,139.77979621944655,136.4466667630312
2021-01-20,1376.99,1852253.0,61.05652556046753,1221.452857142857,144.07205169428926,137.97174374928284
2021-01-21,1110.96,1823458.0,44.37142377135855,1213.3164285714286,124.5713167905983,135.29165835754594
2021-01-22,1232.62,1652010.0,50.69695542861204,1214.4371428571428,117.5784183128851,131.74901034861378
2021-01-23,1233.6,932871.0,48.014088729016784,1211.4085714285713,110.83790334245032,127.56678894738108
2021-01-24,1392.51,1313986.0,55.738453365209025,1221.2842857142857,116.97034428193933,125.44750001429273
2021-01-25,1317.88,1661512.0,60.380191894395146,1237.775,114.48857756180178,123.25571552379455
2021-01-26,1365.97,1423178.0,64.0571169134077,1260.3328571428572,115.0756996179698,121.61971234262961
2021-01-27,1239.03,1737296.0,54.662030550524555,1268.1285714285714,104.09802374040373,118.11537462218445
2021-01-28,1329.69,1275024.0,54.22916037776533,1275.1335714285717,101.54311501877328,114.80092270150223
2021-01-29,1379.5,1714076.0,59.20325955137545,1290.2028571428568,102.35766670389148,112.31227150198008
2021-01-30,1378.05,1013174.0,56.901462805057335,1300.9328571428573,101.71370957167483,110.19255911591904
2021-01-31,1312.55,828176.0,53.48503306648102,1306.6542857142856,94.82498293450612,107.11904387963646
2021-02-01,1374.17,915584.0,54.883442210631145,1314.9199999999998,93.26276140470736,104.34778738465066
2021-02-02,1511.87,1614541.0,56.026192611117054,1325.385,101.96059056050922,103.87034801982237
2021-02-03,1664.49,1384979.0,60.59634380067817,1345.9207142857142,119.78799983573276,107.05387838300446
2021-02-04,1595.67,1507993.0,70.90366485824443,1380.5428571428572,126.90032334383409,111.02316737517039
